,brand,jenis
109,SINAGROWTH 20 TB,Zat Pengatur Tumbuh Tanaman
110,CADRE 240 SL,Herbisida
111,BELIUNG 200 EC,Insektisida
112,BESCONIL 80 WP,Fungisida
113,PARAKUAT DIKLORIDA 42 TC,Herbisida
114,BIOSAT 480 SL,Herbisida
115,SOFFELL SNOW 100 AL,Repelen
116,PROFORMIN 865 SL,Herbisida
117,SIDADOR 30 EC,Insektisida
118,SAGRI-M7 100/150 EC,Insektisida
119,DIRECT 100 EC,Bahan pengawet kayu
120,BETADOR 10 WP,Insektisida
121,STORIN 30 EC ,Insektisida
122,LOGIC 70 WP,Fungisida
123,METROZINE 50 WG,Insektisida
124,BOVENTO 100/100 SC,Insektisida
125,SULFO-GAS 99.8 LG*,Fumigan
126,BM TRICALON 480 EC,Herbisida
127,Hagan 80 WP,Fungisida
128,GAYA 550 EC,Insektisida
129,HAWAII 45 SP,Insektisida
130,BIOBAN™ BP-30 Preservative,Pestisida lain-lain
131,KONTAF 50 SC,Fungisida
132,HIT 3.24 LV,Pestisida Rumah Tangga
133,MACSPRAY 76.4 WP,Herbisida
134,VECTOBAC WG,Insektisida
135,AGNI 865 SL,Herbisida
136,ACEFLO 15/20 WG,Insektisida
137,GENIUS 20/125 OD,Insektisida
138,CONTROL 400 SL,Insektisida
139,RICEMASTER PLUS 50/10 OD,Herbisida
140,DAIMEX 80 WP,Herbisida
141,MERAH PUTIH 241 SL ,Herbisida
142,BIOXAN 50 WP,Fungisida
143,BETA SIFLUTRIN 96.5 TC,Insektisida
144,BANG 240 SL,Herbisida
145,CALIWA 350 OD,Fungisida
146,MARCEL 50 EC ,Insektisida
147,SWEEP 480 SL,Herbisida
148,HIT 0.29 AE,Pestisida Rumah Tangga
149,PRIMA-BLACK 80 P,Rodentisida
150,HIT ONE PUSH 1 AE,Pestisida Rumah Tangga
151,FIPRONIL 95 TC,Insektisida
152,CYPERMAX 200 EC,Insektisida
153,MARTAN 360 EC,Herbisida
154,BIO UP 490 SL,Herbisida
155,SUGARINA 500 SC,Herbisida
156,PITBULL 160 SL,Herbisida
157,LEKTOR 480 SC,Herbisida
158,HULK 20 SG,Insektisida
159,NITENPIRAM 97 TC,Insektisida
160,PROMOUP 488 SL,Herbisida
161,CIGAL 500 SC,Fungisida
162,JOLT 25 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
163,WINFOS 525 SL,Herbisida
164,ATRAZIN 97 TC,Herbisida
165,GARANG 135 SL,Herbisida
166,PROSIMO 70/8 WP,Fungisida
167,COWBOY 480 EC,Herbisida
168,TRIESTER GOLD 670 EC,Herbisida
169,DORUM 350 SC,Fungisida
170,ZIPHOS 80 P*,Rodentisida
171,SAPULALANG 550 SL,Herbisida
172,ACANTO 250 SC,Fungisida
173,Farintop 50 EC,Insektisida
174,STARTHENE 75 WG,Insektisida
175,ASLINYA 75 WP,Fungisida
176,BESTRIN FORTE 100 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
177,VEKTAR 100 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
178,BESTFAST 250 EC,Insektisida
179,CARBOTER 3 GR,Insektisida
180,FLOXS 36 EC,Insektisida
181,SYMBISECT 2/30 WG ,Insektisida
182,KENSELEC 500 EC,Insektisida
183,BRAVOXONE 276 SL,Herbisida
184,MAGISTER PLUS 390 EC,Herbisida
185,AKKAIDO 20/100 EC,Insektisida
186,K-VOLTAZ 180/120 SC,Insektisida
187,MAHAKAM KOPIJOSS 250 SL,Herbisida
188,CHITHAN 80 WP,Fungisida
189,HALTER 80 SL,Zat Pengatur Tumbuh Tanaman
190,MARKOTOP 300 SL*,Herbisida
191,SIDATOP 166 SL,Herbisida
192,APRISID 25 WP,Insektisida
193,ACARAMIK 18 EC,Insektisida
194,ZAPARIS 240 SL,Herbisida
195,ACTICIDE AGT2,Fungisida
196,RADIANT 200 EC,Insektisida
197,COBASEPTEMBER 30,Fungisida
198,STARNER 20 WP,Bakterisida
199,Innosei ® PHE,Bakterisida
200,METHIOCARB 95 TC,Insektisida
201,AGRINEEM,Pestisida lain-lain
202,SENTRI 20 EW,Pestisida Pengendalian Vektor Penyakit Pada Manusia
203,TANICIS 25 EC,Insektisida
204,Q-TOAT 460 EC,Insektisida
205,Parakuat Diklorida 42 TC,Herbisida
206,HIT 0.6 AE,Pestisida Rumah Tangga
207,SIPERMETRIN 92 TC,Insektisida
208,APURI 50 WP,Herbisida
209,NOMOS 0.2MC,Pestisida Rumah Tangga
210,FURATUR 3 GR,Insektisida
211,BARMONE 100 EC,Insektisida
212,LAMDA SIHALOTRIN 95  TC,Insektisida
213,TRIDA UP 485 SL,Herbisida
214,OCTANIL 75 WP,Fungisida
215,Amistartop 325 SC,Fungisida
216,AZOXYSTROBIN 98 TC,Fungisida
217,FOLICUR 25 WP,Fungisida
218,INDAMIN 865 SL,Herbisida
219,RUNNER 240  SC,Insektisida
220,SUPORTAN 500 SL,Insektisida
221,CUROCROP 500 EC,Insektisida
222,BINATOP 525 SL,Herbisida
223,KELONIL 75 WP,Fungisida
224,INDOMOXAN 20 WP,Fungisida
225,ATRAMEST 500/100 SC,Herbisida
226,CRUISER 350 FS,Insektisida
227,METHYL-PRO 20 WP,Herbisida
228,"HARAKA 0,005 BB",Rodentisida
229,BISTAR 10 TK,Insektisida
230,DASATRIN 110 EC,Insektisida
231,SIDACRON 510 EC,Insektisida
232,KEN-TEC 276 SL*,Herbisida
233,EMPIRE 280 EC,Insektisida
234,PRIMA-FUR 3 GR,Insektisida
235,VANCOUVER,Herbisida
236,BM SURROUND 150 SC,Insektisida
237,GRANDALLY 25 WP,Herbisida
238,BASTNATE 200 SL,Herbisida
239,ACL 6 865 SL,Herbisida
240,MATIC 45 EC,Insektisida
241,HIT 0.25 AE,Pestisida Rumah Tangga
242,MITRANS 45 WP,Moluskisida
243,"ALPHATECH 240/4,25 SL",Herbisida
244,BELU 50 EC,Insektisida
245,TURBOID 70 WP,Moluskisida
246,ON-ZEB 85 WP,Fungisida
247,TANDEM 325 SC,Fungisida
248,HIT 7.5 LV,Pestisida Rumah Tangga
249,EVISET 50 SP,Insektisida
250,FLOXS 36 EC,Insektisida
251,LAVITRIN 350 EC,Insektisida
252,INTERTEN 20/60 WG,Insektisida
253,BIOLON 680 EC,Herbisida
254,INNOMAN ® HQ,Bakterisida
255,HERBINATOR 80 WG ,Herbisida
256,OWEN 300/100 SL,Herbisida
257,GLIFOSAT 95 TC,Herbisida
258,POLADO 240/105 SL,Herbisida
259,MONDO 490 SL,Herbisida
260,BESTOP 530 SL,Herbisida
261,TRI-FAST 150/300/50 EC,Herbisida
262,BIGQUAT 276 SL,Herbisida
263,BT MAX WP,Insektisida
264,PRIMACOL 70 WP,Fungisida
265,ORYZOLE 250 EC,Fungisida
266,TOTAL MAX 200 EC,Insektisida
267,ABAMAX 18 EC,Insektisida
268,VAPE 1.2 MV,Pestisida Rumah Tangga
269,FUMITOXIN 56 PL*,Fumigan
270,PROTRIN 250 EC,Insektisida
271,SYMPHONY 100 EC,Insektisida
272,INDAMIN PLUS 77 WP,Herbisida
273,MEZZA 500/50 SC,Herbisida
274,JOLT 25 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
275,GELIAT 486 SL,Herbisida
276,ARSENAL 75 WP ,Fungisida
277,JIFOS 160 SL,Herbisida
278,Gallery 403 SL,Insektisida
279,SUMIONE 5 TK,Insektisida
280,RAZOBAC 4/18 WP,Herbisida
281,DELADAXIN 50/90 SC,Insektisida
282,DKPROTIO MIX 390 SC,Fungisida
283,AKOSIDRIN 50 EC,Insektisida
284,OXAMYL 456 SL,Insektisida
285,SHELTER 100 EC,Insektisida
286,NUPRID 70 WG,Insektisida
287,AFONIL 50 SC,Insektisida
288,"Autan 14,05 AE",Pestisida Rumah Tangga
289,ABAMECTIN 95 % TC,Insektisida
290,RUSH OUT 450 SL,Insektisida
291,PARADOX 200/500 EC,Insektisida
292,SANDOUP 480 SL,Herbisida
293,"TURRIMA UP 545,7 SL",Herbisida
294,FIPROS 55 SC,Insektisida
295,GRADIAN 180 EC,Herbisida
296,AURORA 70 WP,Fungisida
297,YUDA 50 EC,Insektisida
298,TM-PHOSAT 250 SL,Herbisida
299,DIFENOCONAZOLE 96 TC,Fungisida
300,DETACRON 500 EC,Insektisida
301,WEEDAMIN 865 SL,Herbisida
302,VICTORY MIX 8/64 WP,Fungisida
303,Manzate 82 WP,Fungisida
304,PROMOMIN 865 SL,Herbisida
305,RAIQUAT 276 SL,Herbisida
306,MICROCARE CHD,Bakterisida
307,ACTICIDE  OTW 8,Fungisida
308,TIAMETOKSAM 98 TC,Insektisida
309,RESPECT 200 EC,Insektisida
310,ABAZIDA 20/80 SC,Insektisida
311,FLOXS 36 EC,Insektisida
312,KAPUAS 560 SC,Fungisida
313,GLYPHOSATE 95 TC,Herbisida
314,SINGAMAN 110 SL,Insektisida
315,TM-PHOSAT 250 SL,Herbisida
316,EMACEL 30 EC,Insektisida
317,GALIL 300 SC,Insektisida
318,X-TREME 500 EC,Insektisida
319,FARMQUAT 276 SL*,Herbisida
320,Wendry 75 WP,Fungisida
321,MANCOZEB 85 TC,Fungisida
322,ADITRIN 50 EC,Insektisida
323,DAOYOU 400/10 SE,Herbisida
324,EXPLORE MAX 250 EC,Fungisida
325,NARKIS 100 SC,Herbisida
326,CER-ONE 10 PA,Zat Pengatur Tumbuh Tanaman
327,BM DAWN 100 EC,Insektisida
328,PAVO 350 EC,Insektisida
329,Roundup Biactive 486 SL,Herbisida
330,KNOCKER 360 EC,Insektisida
331,METINDO 80 SL,Insektisida
332,NEMAGUARD 10 GR,Insektisida
333,REVITHRIN 25 EC,Insektisida
334,ATOZA 110 SC,Akarisida
335,STAND UP 240 SL,Herbisida
336,COZY 250 EC,Insektisida
337,ABATEN 18 EC,Insektisida
338,GENQUAT 240 SL *,Herbisida
339,GULMAXONE 276 SL*,Herbisida
340,DACOZEB 80 WP,Fungisida
341,PROVIDE-X 21/45 SC,Insektisida
342,ACEMAIN 75 SP,Insektisida
343,LUMIVIA B 625 FS,Insektisida
344,SOLITAIRE 200 SL,Herbisida
345,COMATCH 190/50 SC,Insektisida
346,SUPRA 615 SL,Herbisida
347,SRI DESTROMAX 25 EC,Insektisida
348,DOUBLEMORE 20 TB ,Zat Pengatur Tumbuh Tanaman
349,CER-ONE 10 PA,Zat Pengatur Tumbuh Tanaman
350,BM EMATEZ 5 SG,Insektisida
351,E-POST 15 WG,Herbisida
352,VAPE 1.00 AL,Pestisida Rumah Tangga
353,VIGOLD 480 SC,Fungisida
354,IMIDAKLOPRID 97 TC,Insektisida
355,FICAM 80 WP,Pestisida Pengendalian Vektor Penyakit Pada Manusia
356,PERMIFOS 555 EC,Insektisida
357,SIDAPYR 325 EC,Insektisida
358,BM FLYTHRIN 100 EC,Insektisida
359,STARNER 20 WP,Bakterisida
360,DESTAN 400 EC,Insektisida
361,AMFURON 20 WG,Herbisida
362,AMESUPER 500 SC,Herbisida
363,CALIWA ULTRA 60/9 WP,Fungisida
364,VAPE 0.37 AE,Pestisida Rumah Tangga
365,"Baygon 0,225 AE",Pestisida Rumah Tangga
366,ACTELLIC 500 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
367,GOBEST 250 SC,Zat Pengatur Tumbuh Tanaman
368,SKYSTAR 280 SC,Fungisida
369,HIT MAGIC 0.3 FU,Pestisida Rumah Tangga
370,PILARSPIRIT 20/147 OD,Herbisida
371,MATENI 340 EC,Insektisida
372,PRIMA-SIP 50 EC,Insektisida
373,WOLKY 60 WG,Herbisida
374,JAPRA 400 SE,Herbisida
375,HIT MAGIC 0.20 FU,Pestisida Rumah Tangga
376,CHLORFENAPYR 98 TC,Insektisida
377,TESLA 495 EC,Fungisida
378,PASSPORT 28 EC,Insektisida
379,QUILT 200 SE,Fungisida
380,MYLTOP 25 WP,Insektisida
381,SACO-P,Fungisida
382,JON-UP 480 SL,Herbisida
383,RAMPART-MAX 317 FS,Fungisida
384,DELTAMETHRIN 98 TC,Insektisida
385,MOLLIENT 75 SP,Insektisida
386,KENISA 280 SC ,Fungisida
387,OMNI-JOS 720 SL,Herbisida
388,NAGANO 30/50 EC,Insektisida
389,ENDURE 120 SC,Insektisida
390,SUGARINA PLUS 80 WG,Herbisida
391, TIK OFF 80 P*,Rodentisida
392,C-PHOS 56 TB*,Fumigan
393,SANGIT 50 EC,Insektisida
394,"INDOFUME 99,8 GA",Fumigan
395,FLUROKSIPIR MEPTIL 95 TC ,Herbisida
396,SPONTANKING 400 SL,Insektisida
397,P.MEC 36 EC,Insektisida
398,GANAS 5 WG,Zat Pengatur Tumbuh Tanaman
399,RODD 436 SL,Herbisida
400,ATRAZINE 97 TC,Herbisida
401,PRIMA-FILA 125/400 SE,Fungisida
402,SATI-GOLD 10 WP,Herbisida
403,DUIT 18 EC,Insektisida
404,GANERO 250 EC,Zat Pengatur Tumbuh Tanaman
405,CELQUAT 276 SL*,Herbisida
406,GLUFOSINATE AMMONIUM 95 TC ,Herbisida
407,NUGRASS 69 EC,Herbisida
408,TIRAMO 80 WP,Fungisida
409,ABOJO 60 WP,Moluskisida
410,ONGATAN 60 WP,Moluskisida
411,GARLON ULTRA 667.6 EC,Herbisida
412,NEFOS 45 WP,Fungisida
413,BESTOX 50 EC,Insektisida
414,DEKAPIRIM 400 SC,Insektisida
415,EUVORA 80 WP ,Fungisida
416,EMDOX 50/100 SC,Insektisida
417,THRONE 250 EC,Fungisida
418,LONGER 75 WP,
419,RIDOMIL GOLD 350 ES,Fungisida
420,OXAMYL 100 SL,Insektisida
421,PROTOAT 460 EC,Insektisida
422,TORERO 80 WP,Herbisida
423,ARMCIDE 50 WG,Insektisida
424,EPOKSIKONAZOL 97 TC ,Fungisida
425,SIME RB PHEROMONE SL,Atraktan / Feromon
426,KISS UP 490 SL,Herbisida
427,ESTU 25 WP,Insektisida
428,SAMBER 50 SL,Insektisida
429,EMMAMECTIN BENZOATE 95 TC,Insektisida
430,ACTION 500 SL ,Zat Pengatur Tumbuh Tanaman
431,HIT 12.13 LV,Pestisida Rumah Tangga
432,PRIMAFURON 20 WG,Herbisida
433,HIT 1.1 MV,Pestisida Rumah Tangga
434,JAGOAN 550/100 EC,Insektisida
435,BIORON 80 WP,Herbisida
436,MEGACYPER 250 EC,Insektisida
437,CONTESS 80 EC,Insektisida
438,DN-80 80 WP,Herbisida
439,KNOCKER 360 EC,Insektisida
440,RELSION 200/6 SC,Herbisida
441,WINFON 480 SL,Zat Pengatur Tumbuh Tanaman
442,GRANGE 25 EC,Insektisida
443,FEROMON-EXI,Atraktan / Feromon
444,VAPE 0.425 AE,Pestisida Rumah Tangga
445,VAPE 0.1 MC,Pestisida Rumah Tangga
446,KLORPIRIFOS 97 TC,Insektisida
447,SAGRI-QUAT 300 S*,Herbisida
448,RYNNDOMIN 888 SL,Herbisida
449,ASXONE 138 SL,Herbisida
450,CRESPO 18 EC ,Insektisida
451,PYROXA 250 SC,Fungisida
452,GLYPHOSATE MONOAMMONIUM 38 TC,Herbisida
453,DHARMAFUR 3 GR,Insektisida
454,Delstar Plus,Insektisida
455,ZENVO 555/55 SC,Herbisida
456,ACEPHATE 97 TC,Insektisida
457,KLOPINDO 10 WP,Insektisida
458,TRICURE 430 SC,Fungisida
459,Blazer 13/30 SC,Herbisida
460,KILL UP 480/1 SL,Herbisida
461,Actellic Pro 500 EC,Insektisida
462,TOPPAS 80 WP,Fungisida
463,GLYPHOSATE 95 TC,Herbisida
464,BRANTAS 25 EC,Insektisida
465,SENTRI 20 EW,Pestisida Pengendalian Vektor Penyakit Pada Manusia
466,GASTOR 100 PA,Zat Pengatur Tumbuh Tanaman
467,PRIMADAN 3 GR,
468,EXPLORE 250 EC,Fungisida
469,GOLD-UP 485 SL,Herbisida
470,DOSSER 400 SL,Insektisida
471,HIT 79.7 LV,Pestisida Rumah Tangga
472,PENNCOZEB-BLUE 80 WP,Fungisida
473,MONOAMONIUM GLIFOSAT 45 TC,Herbisida
474,BROND UP 240 SL,Herbisida
475,PIRIZOL 75 WP,Fungisida
476,PENTACOL 280/200 SC*,Herbisida
477,PRIMA-SORB 440 SL,Herbisida
478,RAINBONIL 80 WG,Insektisida
479,FEROMON-EXI,Atraktan / Feromon
480,TIRAYAP 200 SL,Bahan pengawet kayu
481,VAPE 0.05 RB,Pestisida Rumah Tangga
482,Lentra 200 SL,Bahan pengawet kayu
483,NARAPON 10 PA ,Zat Pengatur Tumbuh Tanaman
484,ZEPHYR  80 WP,Fungisida
485,DINAMEC 10 WG,Insektisida
486,HIT 70.59 MV,Pestisida Rumah Tangga
487,ZEERON 20 WG,Herbisida
488,GALARISS 500/50 SC,Herbisida
489,SALSA 550/55 EC,Insektisida
490,Mega 9 865 SL,Herbisida
491,INGROFOL 360 SC,Fungisida
492,HEXAGOLD 75 WP,Fungisida
493,MAHER 80 WP ,Fungisida
494,BOOMING 250 EC,Fungisida
495,IMAR 6 WP,Insektisida
496,ADVION 20 WG,Pestisida Pengendalian Vektor Penyakit Pada Manusia
497,PRYLLA 80 WP ,Herbisida
498,Roundup Biactive 486 SL,Herbisida
499,PRIMACLOR 75 WP,Fungisida
500,ANDARAM 200 EC,Insektisida
501,MAGNITUDE 500 SC,Insektisida
502,ORYSTAR 290 SC,Zat Pengatur Tumbuh Tanaman
503,DKFENZO 120 SC,Insektisida
504,TRIPON 30/5 WP ,Insektisida
505,KLARTAN 240 EW,Insektisida
506,MTM 77 SP,Insektisida
507,Sanitized® CDO ,Bakterisida
508,TRIDARIS 500/50 SC,Herbisida
509,BAMULAT 40/200 EC,Insektisida
510,COMBO 180 EC,Fungisida
511,FLIESAWAY 1.4 AE,Pestisida Rumah Tangga
512,RUGBY 10 GR,Insektisida
513,CHIX 25 EC,Insektisida
514,"2,4-D 98 TC",Herbisida
515,BILLY 20 WP,Herbisida
516,MAWSON 160/5 SL,Herbisida
517,MICROCARE ® ITL,Bakterisida
518,"XILAW 0,005 BB",Rodentisida
519,INDAMIN PLUS 77 WP,Herbisida
520,DIFENOCONAZOLE 95 TC,Fungisida
521,FURIZEB 80 WP,Fungisida
522,GREEN MASCOT 40 SL,Zat Pengatur Tumbuh Tanaman
523,FOLTUS PLUS 500 SL,Insektisida
524,SOREXIN 20 WP,Herbisida
525,HOPPER 500 EC,Insektisida
526,BARESTAN 60 WP,Moluskisida
527,AMETRYN 98 TC,Herbisida
528,AGRESOR 50 EC,Insektisida
529,Penncozeb-blue 80 WP,Fungisida
530,SMACKDOWN 100 EC,Insektisida
531,STUNTMAN 500 SL,Insektisida
532,ROVRAL 250 SC,Fungisida
533,CIDES 50 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
534,Zinc Omadine ZOE dispersion,Bakterisida
535,TERRCO 200 SL,Bahan pengawet kayu
536,SILOGUD 250 EC,Insektisida
537,NATRIUM BISPIRIBAK 97 TC,Herbisida
538,sortie 30/6 WP,Fungisida
539,KEPRETIN 100 EC,Insektisida
540,FOLTUS 400 SL,Insektisida
541,EMACEL 30 EC,Insektisida
542,CENTASCORE 275 EC ,Fungisida
543,GIBBRACID 40 SL,Zat Pengatur Tumbuh Tanaman
544,BERSIHKEONG 65 WP,Moluskisida
545,BIOBAN™ BT 20 AS Antimicrobial,Pestisida lain-lain
546,RAMADA 300 SL,Herbisida
547,CYRUX 50 EC,Insektisida
548,PERAYA 72 WP,Fungisida
549,Chlorothalonil 92 TC,Pestisida lain-lain
550,CORONA PRIMA 325 SC,Fungisida
551,VAPE 44 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
552,SIDAZOL 250 EC,Fungisida
553,QUATIS 276 SL*,Herbisida
554,PENGLARIS 240/1 SL,Herbisida
555,DEMORF 60 WP,Fungisida
556,SANTACOL 80 WP,Fungisida
557,CYCLON 290 SL,Herbisida
558,CYPERBAN 590 EC ,Insektisida
559,MEKTIXONE 177 SL*,Herbisida
560,"BADAK 0,068 MC",Pestisida Rumah Tangga
561,GALUTIN 18 EC,Insektisida
562,SUPRACIDE 25 WP,Insektisida
563,NANOTRON 100/100 SC,Fungisida
564,"Beta Siflutrin 96,5 TC",Insektisida
565,FENPROZOLE 500 EC,Fungisida
566,PROFURON 600 EC,Insektisida
567,GALLEA 300 EC,Insektisida
568,AMCOTHENE 75 SP,Insektisida
569,CYPERMETHRIN 92 TC,Insektisida
570,RONDO LOGICO 75 SG,Herbisida
571,BPMC 96 TC,Insektisida
572,ROUND-TOX 865 SL,Herbisida
573,ROTAPRID 350 SC,Insektisida
574,CHIX 25 EC,Insektisida
575,GRAMATOP 280 SL,Herbisida
576,RAINLUCIDE 70 WP,Moluskisida
577,SYMBISECT 2/30 WG,Insektisida
578,ROUNDUP RENEW 486 SL ,Herbisida
579,METONITE 45 SP,Insektisida
580,SEVILA 400/125 SE,Fungisida
581,ARMETT 50 SP,Insektisida
582,MOSNON TB,Pestisida Rumah Tangga
583,BELLKUTE 40 WP,Fungisida
584,VAPE 0.051 MC,Pestisida Rumah Tangga
585,JU VE 300 SC,Insektisida
586,JAMBO 200 ME,Insektisida
587,AGRINEEM 0.03 EC,Insektisida
588,METAREX 20 WG,Herbisida
589,DIMETHOMORPH 96 TC,Fungisida
590,VENOS 500 EC,Insektisida
591,DIOMEC 18 EC,Insektisida
592,CAPTURE 50 EC,Insektisida
593,DOTHIURON 500 SC,Insektisida
594,HANFOS 600 EC,Insektisida
595,DETAFOS 200 EC,Insektisida
596,DIMETHOATE 98 TC,Insektisida
597,CYPERMETHRIN 92 TC  ,Insektisida
598,INTEGRITY 668 EC,Herbisida
599,NEOLONE™ 950 Preservative,Pestisida lain-lain
600,FLIESAWAY 1.4 AE,Pestisida Rumah Tangga
601,PROPOXUR 98 TC,Insektisida
602,AMUNISI 100 EC,Insektisida
603,CYCAT 50 EC,Insektisida
604,DUTAZEB 55/30 WP,Fungisida
605,SUMILARV 2 MR,Pestisida Pengendalian Vektor Penyakit Pada Manusia
606,TOXINIL 720 SC,Fungisida
607,MANTHENE 75 SP,Insektisida
608,GRANDALLY 25 WP,Herbisida
609,ECHO 36 WP,Herbisida
610,CHECKER 70 WP,Fungisida
611,MAXFORCE QUANTUM 0.03 RB,Pestisida Pengendalian Vektor Penyakit Pada Manusia
612,MIATI 200 EC,Insektisida
613,SIENA 150 SC,Herbisida
614,SIDATHION 210/15 EC,Insektisida
615,PRIMATIN 50 EC ,Insektisida
616,NITENPYRAM 95 TC,Insektisida
617,DELTAMETHRIN 98 TC  ,Insektisida
618,MESOZINE 88 WG,Herbisida
619,DAMEX 30 EC,Insektisida
620,Metina 150 EC,Herbisida
621,APROPO 200 SE,Fungisida
622,DAFAT 75 WG,Insektisida
623,Tridaxone 135 SL*,Herbisida
624,Knocktrin 100 EC,Insektisida
625,ACTICIDE MV,Fungisida
626,BARNSTORM 285 EC,Herbisida
627,AGAXYS 400 SC,Herbisida
628,HERBAZOL 720 SL,Herbisida
629,DIMETOMORPH 96 TC  ,Fungisida
